Architecture,Views,DCI-D,DCI-C,DCI-I,IRS,MIG,3CharM
MNIST,2 Views,0.07969875007035938,0.06691925303142875,0.38333333333333336,0.45643349010851225,0.030896232773390042,0.03121516326660503
MNIST,2 Views,0.09255305808841316,0.07798779934149025,0.2916666666666667,0.5007193621767633,0.05186741849342558,0.020033436574162615
MNIST,2 Views,0.06643796387510789,0.05740911328992517,0.35000000000000003,0.47719882490413557,0.01976804943394267,0.01972086375254769
MNIST,2 Views,0.07415872515857656,0.06368437313650784,0.35000000000000003,0.4848796829237248,0.022082988630223028,0.032862162817566536
MNIST,2 Views,0.09392083439944907,0.0833460554911188,0.3499999999999999,0.4446024517582987,0.012496445720793522,0.01443519744108
MNIST,2 Views,0.0633547643179827,0.05891370721645639,0.2833333333333333,0.467306268086372,0.033579195587930745,0.023908010290896703
MNIST,2 Views,0.08331384495414243,0.06441674721207107,0.31666666666666665,0.46990969201213356,0.010705326365709941,0.026758886697850127
MNIST,2 Views,0.08937689418782818,0.07595381964000357,0.3499999999999999,0.477074263437528,0.039814929258074505,0.02488480845605774
MNIST,2 Views,0.09001220330481975,0.07711697530192392,0.35000000000000003,0.4670891591866699,0.006836935039600127,0.030492512770776
MNIST,2 Views,0.0821073139235289,0.06900713327386448,0.2916666666666667,0.4948487908053607,0.017762689248055335,0.02533504142224783
MM-CelebA-HQ,2 Views - IL,0.2757314102455654,0.4152988390140121,0.9578125,0.34181447353391975,0.09491569212898666,0.03301079606597496
MM-CelebA-HQ,2 Views - IL,0.2884119341039316,0.4299939214697074,0.9621212121212122,0.3549345530180546,0.10012558336137316,0.025373634894634723
MM-CelebA-HQ,2 Views - IL,0.2800775309893758,0.4090194640410828,0.9411764705882353,0.35381252907942695,0.07889097922807288,0.03386416618014084
MM-CelebA-HQ,2 Views - IL,0.2765744367297302,0.42779687861221855,0.9486486486486488,0.35361238057463584,0.0737105689296231,0.04281309354097129
MM-CelebA-HQ,2 Views - IL,0.2875297162178633,0.44158771869099167,0.9694444444444446,0.3753228318520045,0.09779619343349134,0.0298665811462598
MM-CelebA-HQ,2 Views - IL,0.2930430823769052,0.4160219238358876,0.9471428571428571,0.34069979947431495,0.09173013159233379,0.030695950527233576
MM-CelebA-HQ,2 Views - IL,0.2451262189298831,0.3748188500266822,0.9642857142857143,0.3274908728451469,0.1094178405965195,0.03158293814050706
MM-CelebA-HQ,2 Views - IL,0.29303449243310414,0.4263046958692822,0.9651515151515151,0.36499253803157666,0.07840746448924377,0.03470687824005588
MM-CelebA-HQ,2 Views - IL,0.27191660047033367,0.4050686653053336,0.9640625,0.33123951279463326,0.09954578056333019,0.045672168933749
MM-CelebA-HQ,2 Views - IL,0.30978763955774025,0.43287971615990944,0.9632352941176471,0.35323071151124597,0.08989058611557754,0.04187302490159876
MM-CelebA-HQ,3 Views,0.28813281106352806,0.40210786827111245,0.946875,0.3527237593939032,0.10002011310514411,0.043993373825702994
MM-CelebA-HQ,3 Views,0.28201211727368863,0.40893061875167774,0.9575757575757575,0.34259170264237315,0.11164613721160527,0.045840994089338005
MM-CelebA-HQ,3 Views,0.2941066328299767,0.4012142013682566,0.9308823529411764,0.3559489988083205,0.0771152005000805,0.05439104574102847
MM-CelebA-HQ,3 Views,0.2929556019754953,0.42105054841724676,0.9351351351351354,0.3638495485837949,0.07645013699076893,0.03363079429158321
MM-CelebA-HQ,3 Views,0.27706514540547866,0.4293436349740831,0.9541666666666667,0.3655224878113009,0.09058540388493336,0.026786610490951872
MM-CelebA-HQ,3 Views,0.2944983198319008,0.40092563841581297,0.9428571428571428,0.36329309018757155,0.08398699952251938,0.04666684228640268
MM-CelebA-HQ,3 Views,0.2835146266953518,0.39570583911940116,0.9482142857142858,0.33207997053055893,0.07372916051264244,0.03769649320374026
MM-CelebA-HQ,3 Views,0.2962355605701947,0.4102218568551644,0.9515151515151514,0.36709966799787486,0.07947211781344299,0.031365599180782334
MM-CelebA-HQ,3 Views,0.29577923241110043,0.4155648132722466,0.9515625,0.3282799767789891,0.09736878375564112,0.04609758389707582
MM-CelebA-HQ,3 Views,0.30460880444417066,0.41469055063292387,0.9544117647058822,0.3754817703190535,0.06728717617475546,0.028794826472941935
MM-CelebA-HQ,2 Views - IL,0.2757310388295151,0.4153026741027046,0.9578125,0.34181447353391975,0.09491569212898666,0.03301079606597496
MM-CelebA-HQ,2 Views - IL,0.28842147404180424,0.43000122629247617,0.9621212121212122,0.3549345530180546,0.10012558336137316,0.025373634894634723
MM-CelebA-HQ,2 Views - IL,0.2800782599986978,0.40901194389645973,0.9411764705882353,0.35381252907942695,0.07889097922807288,0.03386416618014084
MM-CelebA-HQ,2 Views - IL,0.27656357843712803,0.4277954720047798,0.9486486486486488,0.35361238057463584,0.0737105689296231,0.04281309354097129
MM-CelebA-HQ,2 Views - IL,0.2875292878433438,0.4415904171357499,0.9694444444444446,0.3753228318520045,0.09779619343349134,0.0298665811462598
MM-CelebA-HQ,2 Views - IL,0.29303840044037843,0.4160173864244645,0.9471428571428571,0.34069979947431495,0.09173013159233379,0.030695950527233576
MM-CelebA-HQ,2 Views - IL,0.2451251373268207,0.37481424792941637,0.9642857142857143,0.3274908728451469,0.1094178405965195,0.03158293814050706
MM-CelebA-HQ,2 Views - IL,0.2930334319478884,0.42630387978204043,0.9651515151515151,0.36499253803157666,0.07840746448924377,0.03470687824005588
MM-CelebA-HQ,2 Views - IL,0.27191033937784553,0.4050648827529993,0.9640625,0.33123951279463326,0.09954578056333019,0.045672168933749
MM-CelebA-HQ,2 Views - IL,0.3097827210973463,0.43287995315311223,0.9632352941176471,0.35323071151124597,0.08989058611557754,0.04187302490159876
MM-CelebA-HQ,3 Views,0.28813516206375983,0.4021109722549029,0.946875,0.3527237593939032,0.10002011310514411,0.043993373825702994
MM-CelebA-HQ,3 Views,0.28201034823173887,0.4089213038800298,0.9575757575757575,0.34259170264237315,0.11164613721160527,0.045840994089338005
MM-CelebA-HQ,3 Views,0.2941066725549789,0.4012158518974791,0.9308823529411764,0.3559489988083205,0.0771152005000805,0.05439104574102847
MM-CelebA-HQ,3 Views,0.2929549650077372,0.4210552733601571,0.9351351351351354,0.3638495485837949,0.07645013699076893,0.03363079429158321
MM-CelebA-HQ,3 Views,0.2770535799571589,0.42933582829606237,0.9541666666666667,0.3655224878113009,0.09058540388493336,0.026786610490951872
MM-CelebA-HQ,3 Views,0.29449944187113886,0.4009292858268078,0.9428571428571428,0.36329309018757155,0.08398699952251938,0.04666684228640268
MM-CelebA-HQ,3 Views,0.2835169663239023,0.39568588891263506,0.9482142857142858,0.33207997053055893,0.07372916051264244,0.03769649320374026
MM-CelebA-HQ,3 Views,0.29624034006721883,0.41021951630356385,0.9515151515151514,0.36709966799787486,0.07947211781344299,0.031365599180782334
MM-CelebA-HQ,3 Views,0.2957718114218631,0.4155520799080955,0.9515625,0.3282799767789891,0.09736878375564112,0.04609758389707582
MM-CelebA-HQ,3 Views,0.30461510611120834,0.41469792100953906,0.9544117647058822,0.3754817703190535,0.06728717617475546,0.028794826472941935
