model,image_attack,sketch_attack,Clean_IM_Loss,BIM_IM_Loss,Clean_SK_Loss,BIM_SK_Loss,Clean_LA_Loss,BIM_LA_Loss
1V,True,True,0.012068700894641026,0.10536716653802292,,,,
1V,True,True,0.011992196984152834,0.05489103032101059,,,,
1V,True,True,0.011486564849018803,0.10667209556241684,,,,
1V,True,True,0.012184465834403866,0.06503214574975597,,,,
1V,True,True,0.011993280475636837,0.05796354323945457,,,,
1V,True,True,0.011452593311918443,0.12206898467983374,,,,
1V,True,True,0.011324987160229366,0.1737465568950577,,,,
1V,True,True,0.011503091562952029,0.1171766076782392,,,,
1V,True,True,0.012170697155757002,0.04269986813413125,,,,
1V,True,True,0.012688084214673961,0.04942930505924514,,,,
2V-IS,True,True,0.01555586610940144,0.13259215833209617,0.06653793462325953,0.09438478880957507,,
2V-IS,True,True,0.01497879124577244,0.08536712553237791,0.06731334386278434,0.08824005970869031,,
2V-IS,True,True,0.014759990783504413,0.07291900326923925,0.06429541385531469,0.08314714997068096,,
2V-IS,True,True,0.015992046647386706,0.13686052186029662,0.06484023168202267,0.09325962996133833,,
2V-IS,True,True,0.015752728020441312,0.12414024746927481,0.06696916274044704,0.09735775011661556,,
2V-IS,True,True,0.015098899947919128,0.0770505693893958,0.06655498674609596,0.08712061772924504,,
2V-IS,True,True,0.014748825138347715,0.09050979305138139,0.06346554646995077,0.08562278338666969,,
2V-IS,True,True,0.014602858121684884,0.1428873098349718,0.06434827724233455,0.09290830044436621,,
2V-IS,True,True,0.015559577638650606,0.12774081909372337,0.06578992304766818,0.08819380508013036,,
2V-IS,True,True,0.01637710944720166,0.14997689182194035,0.06569590905868113,0.0915857660192346,,
2V-IL,True,True,0.014172878195744355,0.08755269198478802,,,0.0007678416174985405,1.5180513261965352
2V-IL,True,True,0.0140533972094576,0.07705911126924378,,,0.0007324810520304091,0.15535718062718418
2V-IL,True,True,0.013675562342327113,0.11653788086369718,,,0.0009440870888688591,1.0857113015324293
2V-IL,True,True,0.015420152791011929,0.11149798269894537,,,0.0008030054232044105,2.105704014348254
2V-IL,True,True,0.0145745246002653,0.1206882423113036,,,0.0009161780338685783,0.9725782227514573
2V-IL,True,True,0.014247022397885185,0.10311716531117478,,,0.0008134087037813218,0.9948953528418515
2V-IL,True,True,0.013330201167666107,0.07553963915573511,,,0.0009944925764768353,0.34687383348679907
2V-IL,True,True,0.013673628938223431,0.1262143123090898,,,0.0009730613019710086,1.2909614421285895
2V-IL,True,True,0.015076174750555869,0.10327114816142285,,,0.0010601263887523751,2.027723080300773
2V-IL,True,True,0.01576936868537251,0.11420602736004137,,,0.0039484697838363895,1.225578202848426
3V,True,True,0.014524284994410523,0.19333263045182178,0.05912861400370648,0.07947000614652001,0.0015396105231229899,1.912379030534326
3V,True,True,0.015393358734475398,0.1870417475889485,0.05967932649242995,0.07970500108332439,0.0009967463971454254,1.8909931777968556
3V,True,True,0.014677115048933057,0.20140940697193085,0.0565699019477084,0.0762388278283915,0.0013100464596638118,1.3683653520215744
3V,True,True,0.015957577874414944,0.19606204750649206,0.05741115929992255,0.0771011866610333,0.0017881343336061976,2.1160206266397052
3V,True,True,0.015271053899920528,0.194664071570569,0.058963263522523526,0.08082023329609851,0.0010925303999849865,2.3480744358764922
3V,True,True,0.01508160372603674,0.18853419913820532,0.058845500380794016,0.07991779007503397,0.0014227569813814447,2.3612917644844917
3V,True,True,0.014580874832957358,0.19307292336323434,0.05645655182156527,0.07563073310913251,0.0027620468222664717,1.5530430238012864
3V,True,True,0.014447007679951596,0.18287421754013725,0.05647276663258632,0.0758810833771872,0.0013399973216239088,1.6562101348057545
3V,True,True,0.015436032351677339,0.19310119515316826,0.058051018287050234,0.07688876193589352,0.0026048562726700077,1.3469652977796291
3V,True,True,0.01631298690059443,0.20300824090524955,0.05784708826451134,0.0772154938267,0.003362265089800265,1.848278740681858
1V,True,False,0.012068700894641026,0.10536716653802292,,,,
1V,True,False,0.011992196984152834,0.05489103032101059,,,,
1V,True,False,0.011486564849018803,0.10667209556241684,,,,
