model,Clean_IM_Loss,FGSM_IM_Loss,BIM_IM_Loss,Clean_LA_Loss,FGSM_LA_Loss,BIM_LA_Loss
1V,0.0072755420581899,0.03763028410243803,0.023634792438287994,,,
1V,0.007287834238241677,0.03575098776422016,0.022651129728045626,,,
1V,0.00791400707393221,0.03802580732108394,0.02447569860231274,,,
1V,0.008287397251474002,0.04025005627280398,0.026017505739992064,,,
1V,0.0076020626549593755,0.007602062654959377,0.007602062654959377,,,
1V,0.007812372618629976,0.03858160741448663,0.02462475137775704,,,
1V,0.007724131508667311,0.03760562477413954,0.023894553224956837,,,
1V,0.00815465477525668,0.039692449841469246,0.025701647363524142,,,
1V,0.00812732717204954,0.03907029149911071,0.025802946621890456,,,
1V,0.007930034846574181,0.03786324580098577,0.024472638340876342,,,
2V,0.0072755420581899,0.03220215018465539,0.01703284647219272,0.008121982915116472,1.959475308609828,1.9709104003393922
2V,0.007287834238241677,0.031828591134551346,0.016400386299227507,0.008008582831135442,2.0766634719980406,2.0681032199046783
2V,0.00791400707393221,0.034006827366687774,0.017679782546155872,0.00879035075988784,1.865126147000405,1.884394504004992
2V,0.008287397251474002,0.03242444986277077,0.017735214871207158,0.009457063920234262,1.911490601161446,1.8991405815196627
2V,0.0076020626549593755,0.032603178062880725,0.016831615157309392,0.008347725538468595,1.9008086973196268,1.9296973406935372
2V,0.007812372618629976,0.0343901228920598,0.018561352556134194,0.009107134923605306,1.783892644834927,1.7890602789313197
2V,0.007724131508667311,0.03458306716824249,0.017901563295220704,0.008663808066923953,1.8711678482766052,1.8732361913871327
2V,0.00815465477525668,0.032642066380097694,0.018021519495183345,0.009877263638501155,1.9074139096362712,1.9046507154703018
2V,0.00812732717204954,0.03528203510177545,0.018606669829562564,0.00884347861691642,1.750394350163619,1.7670680344232632
2V,0.007930034846574181,0.03332952488580586,0.018183766478393915,0.008913471498687119,1.6684510478687193,1.6630836049841888
