model,Clean_TEXT_Loss,ADV_TEXT_Loss,Clean_SENT_Loss,ADV_SENT_Loss,Clean_LEN_Loss,ADV_LEN_Loss
1V,0.004996260162442923,413.2114562988281,,,,
1V,0.0,253.6147003173828,,,,
1V,0.0,386.7477722167969,,,,
1V,0.0,426.9335632324219,,,,
1V,0.0,285.1166076660156,,,,
1V,0.05341446399688721,319.8136901855469,,,,
2V-TS,0.0,446.1210632324219,0.21295112371444702,,,
2V-TS,0.0,410.2852478027344,0.28267794847488403,,,
2V-TS,0.0006112432456575334,374.2076110839844,0.29457008838653564,,,
2V-TS,0.0,348.91802978515625,0.31259092688560486,,,
2V-TS,0.0,375.4008483886719,0.26547327637672424,,,
2V-TS,0.00585305318236351,400.42913818359375,0.21726928651332855,,,
2V-TL,2.9513560484417667e-09,317.322509765625,,,0.01770453341305256,
2V-TL,0.0,324.9765319824219,,,0.017809752374887466,
2V-TL,0.0,367.0107727050781,,,0.017022520303726196,
2V-TL,0.0,307.77490234375,,,0.01458672434091568,
2V-TL,0.0005674454150721431,358.9935607910156,,,0.016931068152189255,
2V-TL,0.0,320.0187072753906,,,0.016228269785642624,
3V,0.0,374.6454162597656,0.05035388842225075,,0.02278153970837593,
3V,0.0,368.10894775390625,0.04737047851085663,,0.023244064301252365,
3V,0.0,425.287841796875,0.07053062319755554,,0.023214945569634438,
3V,0.0,416.4307556152344,0.04689335450530052,,0.021548356860876083,
3V,9.492319819059958e-09,375.9026184082031,0.047968797385692596,,0.0221492238342762,
3V,0.0,386.47332763671875,0.03616286441683769,,0.02293364889919758,
